distance_cm,ttc,v_rel,voltage,raw_percent,cmd_percent,delta_thr_raw,scenario,misop_flag
49.708,inf,0,2.00821,61.641,61.641,13.8608,1,0
41.905,3.00951,0,2.30315,120.63,24.2372,58.989,1,0
38.913,7.22546,0.0139242,2.22418,104.835,104.835,0,1,0
29.24,1.67769,0.0193097,2.38857,137.714,20.4988,32.8791,1,0
18.479,0.951295,0.0367385,2.37084,134.168,134.168,0,1,0
16.932,6.06063,0.0561636,2.23868,107.736,107.736,0,1,0
49.555,inf,0,1.96791,53.5824,53.5824,0,1,0
49.028,51.6905,0,1.98806,57.6117,57.6117,4.0293,1,0
44.421,5.35488,0.000948492,2.283,116.601,30.8207,58.989,1,0
39.168,4.13904,0.00924391,2.40147,140.293,27.4078,23.6923,1,0
30.022,1.8231,0.018707,2.44579,149.158,149.158,8.8645,1,0
21.369,1.37206,0.0351746,2.37568,135.136,135.136,0,1,0
14.943,1.29058,0.050749,2.3096,121.919,121.919,0,1,0
12.223,2.49323,0.0623275,2.16938,93.8755,93.8755,0,1,0
48.399,inf,0,1.95582,51.1648,51.1648,11.2821,1,0
43.979,5.53347,0,2.09524,79.0476,31.322,27.8828,1,0
40.545,6.57767,0.00794782,2.35634,131.267,34.2531,52.2198,1,0
39.1,15.0223,0.0141119,2.40308,140.615,140.615,9.34796,1,0
21.998,0.714171,0.0167147,2.30557,121.114,121.114,0,1,0
17.221,1.99821,0.0475168,2.2967,119.341,119.341,0,1,0
48.603,34.5339,0.000826035,1.97275,54.5495,54.5495,12.2491,1,0
43.809,5.07546,0.00223344,2.13231,86.4615,30.0364,31.9121,1,0
37.094,3.06645,0.010865,2.40469,140.938,24.3971,54.4762,1,0
29.971,2.33407,0.0229617,2.41194,142.388,142.388,1.45058,1,0
21.369,1.37818,0.0358023,2.36601,133.201,133.201,0,1,0
14.96,1.29646,0.0513076,2.42242,144.484,20,11.2821,1,1
48.382,inf,0,1.88249,36.4982,36.4982,14.1831,1,0
44.982,7.3475,0,2.07267,74.5348,36.414,38.0366,1,0
41.871,7.47266,0.00612209,2.17099,94.1978,36.7654,19.663,1,0
33.371,2.17771,0.0117253,2.47883,155.766,21.9023,61.5678,1,0
25.789,1.88525,0.0270492,2.42322,144.645,144.645,0,1,0
15.929,0.894701,0.0407286,2.4063,141.26,141.26,0,1,0
14.586,6.01809,0.0585323,1.89297,38.5934,38.5934,0,1,0
