distance_cm,ttc,v_rel,voltage,raw_percent,cmd_percent,delta_thr_raw,scenario,accel_detected,brake_detected,accel_latency,misop_flag
20.349,2.34589,0.0953999,1.85429,30.8571,30.8571,-17.5678,3,1,1,-1.76408e+09,0
41.565,inf,0.0542903,1.75597,11.1941,11.1941,-19.663,3,1,1,-1.76408e+09,0
49.589,inf,0.0322163,1.75436,10.8718,10.8718,-0.322342,3,1,1,-1.76408e+09,0
49.045,50.1906,0.0242357,1.75355,10.7106,10.7106,-0.161171,3,1,1,-1.76408e+09,0
31.501,0.997954,0.02528,2.11619,83.2381,0,72.5275,3,1,1,-1.76408e+09,1
49.589,inf,-0.0335058,1.76403,12.8059,12.8059,-0.967026,3,1,1,-1.76408e+09,0
36.975,1.63041,0.00402019,2.04608,69.2161,20,56.4102,3,1,1,-1.76408e+09,1
21.947,1.10252,0.041107,1.80755,21.5092,21.5092,-47.7069,3,1,1,-1.76408e+09,0
41.599,inf,0.060036,1.76645,13.2894,13.2894,-8.21979,3,1,1,-1.76408e+09,0
49.623,inf,-0.0067616,1.73018,6.03664,6.03664,-7.25274,3,1,1,-1.76408e+09,0
49.249,73.2538,-0.013007,1.77531,15.0623,15.0623,9.02565,3,1,1,-1.76408e+09,0
38.624,inf,0.0604914,1.74711,9.42125,9.42125,-111.853,3,1,1,-1.76408e+09,0
46.461,inf,0.0645343,1.73663,7.32601,7.32601,-2.09525,3,1,1,-1.76408e+09,0
46.852,inf,0.0497878,1.73905,7.80952,7.80952,0.483513,3,1,1,-1.76408e+09,0
46.461,66.1335,0.00197997,1.69473,0,0,-7.80952,3,1,1,-1.76408e+09,0
46.495,inf,0.0210008,1.70601,1.20146,1.20146,1.20146,3,1,1,-1.76408e+09,0
46.478,1520.95,0.0206098,1.69875,0,0,-1.20146,3,1,1,-1.76408e+09,0
46.478,inf,0.0123436,1.69231,0,0,0,3,1,1,-1.76408e+09,0
46.495,inf,-0.023348,1.67941,0,0,0,3,1,1,-1.76408e+09,0
46.869,inf,-0.00363999,1.68344,0,0,0,3,1,1,-1.76408e+09,0
46.478,66.0462,-0.00298156,1.67538,0,0,0,3,1,1,-1.76408e+09,0
46.495,inf,-0.024478,2.11297,82.5934,0,82.5934,3,1,1,-1.76408e+09,1
46.495,inf,-0.014135,1.68022,0,0,-82.5934,3,1,1,-1.76408e+09,1
46.444,914.793,-6.07765e-05,1.67861,0,0,0,3,1,1,-1.76408e+09,1
46.444,inf,0.000692486,1.67619,0,0,0,3,1,1,-1.76408e+09,1
46.478,inf,-1.0047e-05,1.6778,0,0,0,3,1,1,-1.76408e+09,0
