distance_cm,ttc,v_rel,voltage,raw_percent,cmd_percent,delta_thr_raw,scenario,accel_detected,brake_detected,accel_latency,misop_flag
49.436,inf,0,1.93971,47.9414,47.9414,47.9414,1,1,1,-1.76408e+09,0
49.453,inf,0,1.94535,49.0696,49.0696,1.1282,1,1,0,-1.76408e+09,0
49.436,1640.92,-2.97331e-05,1.96549,53.0989,53.0989,4.0293,1,1,0,-1.76408e+09,0
49.436,inf,3.93981e-07,1.96711,53.4212,53.4212,0.322342,1,0,0,-1,0
49.113,85.2411,3.93981e-07,1.95985,51.9707,51.9707,-1.45054,1,1,0,-1.76408e+09,0
45.526,7.20846,0.00057656,2.21692,103.385,100,51.4139,1,1,0,-1.76408e+09,0
33.83,1.63605,0.00689219,2.37407,134.813,20,31.4286,1,1,0,-1.76408e+09,1
27.166,3.1235,0.02757,2.28462,116.923,116.923,-17.8901,1,1,0,-1.76408e+09,0
27.489,inf,0.0362673,2.2548,110.96,110.96,-5.96338,1,0,0,-1,0
38.42,inf,0.0357023,1.98242,56.4835,56.4835,-54.4762,1,1,0,-1.76408e+09,0
46.733,inf,0.0160373,1.81722,23.4432,23.4432,-33.0403,1,1,0,-1.76408e+09,0
50.626,inf,0.00143283,1.843,28.6007,28.6007,5.15752,1,1,0,-1.76408e+09,0
48.314,11.8801,-0.00534871,1.87201,34.4029,34.4029,5.8022,1,0,0,-1,0
47.532,33.8084,-0.00131203,1.91553,43.1062,43.1062,8.70328,1,1,0,-1.76408e+09,0
43.707,6.44917,9.38937e-05,1.99692,59.3846,59.3846,16.2784,1,1,0,-1.76408e+09,0
40.46,7.0547,0.00629488,2.02271,64.5421,64.5421,5.15749,1,1,0,-1.76408e+09,0
35.394,3.96499,0.00571444,1.94857,49.7143,49.7143,-14.8278,1,0,0,-1,0
27.761,2.01879,-0.00603675,2.00176,60.3517,31.143,10.6374,1,1,0,-1.76408e+09,0
21.335,1.86871,-0.000982715,2.09121,78.2418,20.6111,17.8901,1,1,0,-1.76408e+09,0
21.284,235.547,0.0109992,2.5022,160.44,0,82.1978,1,1,0,-1.76408e+09,1
21.675,inf,0.0307546,2.19839,99.6777,0,-60.7619,1,0,0,-1,1
