distance_cm,ttc,v_rel,voltage,raw_percent,cmd_percent,delta_thr_raw,scenario,accel_detected,brake_detected,accel_latency,misop_flag
48.858,inf,0,1.85509,31.0183,31.0183,31.0183,3,1,0,-1.76415e+09,0
48.841,1655.61,0,1.84139,28.2784,28.2784,-2.73993,3,1,0,-1.76415e+09,0
49.232,inf,2.95003e-05,1.83414,26.8278,26.8278,-1.45056,3,0,0,-1,0
47.039,11.9313,-0.000657206,1.83736,27.4725,27.4725,0.644684,3,1,0,-1.76415e+09,0
43.656,7.29485,0.00328527,2.09766,79.5311,79.5311,52.0586,3,1,0,-1.76415e+09,0
18.428,0.41431,0.00926977,2.08234,76.4688,76.4688,-3.06229,3,1,0,-1.76415e+09,0
17.493,10.8216,0.0537485,2.24513,109.026,109.026,32.5568,3,0,0,-1,0
20.332,inf,0.055365,1.9389,47.7802,47.7802,-61.2454,3,1,0,-1.76415e+09,0
43.299,inf,0.0502503,1.76242,12.4835,12.4835,-35.2967,3,1,0,-1.76415e+09,0
47.039,inf,0.0095587,1.76161,12.3224,12.3224,-0.161171,3,0,0,-1,0
47.243,inf,0.00301907,1.76725,13.4506,13.4506,1.1282,3,1,0,-1.76415e+09,0
47.243,inf,0.00265273,1.77531,15.0623,15.0623,1.61173,3,1,0,-1.76415e+09,0
43.673,6.95433,0.00262324,1.85429,30.8571,30.8571,15.7948,3,1,0,-1.76415e+09,0
20.349,0.499888,0.00958992,2.42161,144.322,144.322,113.465,3,0,0,-1,0
19.397,11.3047,0.0463546,2.19919,99.8388,99.8388,-44.4835,3,1,0,-1.76415e+09,0
23.715,inf,0.0420859,1.86234,32.4689,32.4689,-67.37,3,1,0,-1.76415e+09,0
37.706,inf,-0.0100502,1.79546,19.0916,19.0916,-13.3773,3,1,0,-1.76415e+09,0
49.555,inf,-0.0362169,1.79143,18.2857,18.2857,-0.805855,3,0,0,-1,0
49.045,53.5238,-0.0516615,1.79788,19.5751,19.5751,1.28937,3,1,0,-1.76415e+09,0
50.456,inf,-0.0100536,1.90828,41.6557,41.6557,22.0806,3,1,0,-1.76415e+09,0
26.299,0.617949,-0.00598332,2.15326,90.652,90.652,48.9963,3,0,0,-1,0
17.17,1.04293,0.0369416,2.3652,133.04,20,42.3883,3,1,0,-1.76415e+09,1
29.903,inf,0.0534048,1.79062,18.1246,18.1246,-114.916,3,1,0,-1.76415e+09,0
44.846,inf,0.0304215,1.77451,14.9011,14.9011,-3.22344,3,1,0,-1.76415e+09,0
47.821,inf,-0.0366707,1.77451,14.9011,14.9011,0,3,1,0,-1.76415e+09,0
48.229,inf,-0.0436283,1.79465,18.9304,18.9304,4.0293,3,0,0,-1,0
39.27,2.43974,-0.0366839,2.07429,74.8571,60.6833,55.9267,3,1,0,-1.76415e+09,0
15.572,0.373466,0.00396223,2.37729,135.458,20,60.6007,3,1,0,-1.76415e+09,1
25.432,inf,0.0662174,1.82205,24.4102,24.4102,-111.048,3,1,0,-1.76415e+09,0
42.483,inf,0.0524657,1.76967,13.9341,13.9341,-10.4762,3,1,0,-1.76415e+09,0
48.467,inf,0.0250465,1.76645,13.2894,13.2894,-0.644684,3,0,0,-1,0
48.858,inf,-0.0278732,1.77773,15.5458,15.5458,2.25642,3,1,0,-1.76415e+09,0
47.668,22.7246,-0.0450387,2.02996,65.9927,65.9927,50.4469,3,1,0,-1.76415e+09,0
19.108,0.380778,-0.0262377,2.38615,137.231,0,71.2381,3,1,0,-1.76415e+09,1
48.433,inf,-0.0326776,1.78901,17.8022,17.8022,2.73991,3,1,0,-1.76415e+09,0
35.615,1.57876,-0.0205287,2.14359,88.7179,0,70.9157,3,1,0,-1.76415e+09,1
41.582,3.07341,-0.0185177,1.87927,35.8535,35.8535,24.337,3,1,0,-1.76415e+09,0
20.672,0.564762,0.00731455,2.19355,98.7106,98.7106,62.8572,3,0,0,-1,0
19.737,11.7122,0.0628008,2.23385,106.769,100,8.05859,3,1,0,-1.76415e+09,0
26.486,inf,0.064486,1.72212,4.42491,4.42491,-102.344,3,1,0,-1.76415e+09,0
43.656,inf,0.0525631,1.72857,5.7143,5.7143,1.28939,3,1,0,-1.76415e+09,0
48.025,inf,0.0229966,1.73744,7.48718,7.48718,1.77288,3,0,0,-1,0
48.042,inf,-0.00723015,1.74147,8.29303,8.29303,0.805855,3,1,0,-1.76415e+09,0
45.237,9.12135,-0.0240789,1.77128,14.2564,14.2564,5.96337,3,1,0,-1.76415e+09,0
44.302,26.7416,0.00544813,1.90103,40.2051,40.2051,25.9487,3,0,0,-1,0
23.885,0.649056,0.00855958,2.15648,91.2967,20,51.0916,3,1,0,-1.76415e+09,1
23.698,96.8007,0.0453758,1.75597,11.1941,11.1941,-80.1026,3,1,0,-1.76415e+09,0
40.868,inf,0.032091,1.73744,7.48718,7.48718,-3.70696,3,1,0,-1.76415e+09,0
48.433,inf,-0.0349826,1.72777,5.55313,5.55313,-1.93405,3,1,0,-1.76415e+09,0
48.858,inf,-0.0500411,1.73421,6.84249,6.84249,1.28937,3,0,0,-1,0
47.464,18.9284,-0.0388862,1.74388,8.77657,8.77657,1.93408,3,1,0,-1.76415e+09,0
43.486,6.17024,-0.00612567,1.8696,33.9194,33.9194,25.1428,3,1,0,-1.76415e+09,0
28.56,1.08805,0.00858997,2.22579,105.158,0,71.2381,3,1,0,-1.76415e+09,1
46.461,14.7737,-0.0260338,1.75436,10.8718,10.8718,7.73625,3,1,0,-1.76415e+09,0
35.071,1.72972,0.00758151,1.92278,44.5568,20,33.685,3,1,0,-1.76415e+09,1
18.785,0.879439,0.0412304,2.06059,72.1172,20,27.5604,3,1,0,-1.76415e+09,1
36.278,inf,0.0633421,1.74469,8.93774,8.93774,-63.1795,3,1,0,-1.76415e+09,0
46.665,inf,0.0379716,1.71648,3.29671,3.29671,-5.64103,3,1,0,-1.76415e+09,0
46.665,inf,0.0125423,1.70601,1.20146,1.20146,-2.09525,3,0,0,-1,0
46.648,1524.92,-0.0137064,1.71245,2.49085,2.49085,1.28939,3,1,0,-1.76415e+09,0
46.665,inf,-0.0207526,1.71729,3.45788,3.45788,0.967026,3,1,0,-1.76415e+09,0
42.245,5.40861,0.00236537,1.81883,23.7656,23.7656,20.3077,3,1,0,-1.76415e+09,0
23.426,0.69951,0.011561,2.05011,70.022,70.022,46.2564,3,0,0,-1,0
19.72,2.94897,0.0448364,2.07429,74.8571,74.8571,4.83517,3,1,0,-1.76415e+09,0
20.366,inf,0.0483786,1.86476,32.9524,32.9524,-41.9048,3,1,0,-1.76415e+09,0
35.105,inf,0.0269539,1.7181,3.61905,3.61905,-29.3333,3,1,0,-1.76415e+09,0
42.687,inf,-0.0205265,1.72454,4.90842,4.90842,1.28937,3,0,0,-1,0
43.299,inf,-0.0111472,1.72293,4.58608,4.58608,-0.322342,3,1,0,-1.76415e+09,0
44.659,inf,0.00614062,1.72293,4.58608,4.58608,0,3,1,0,-1.76415e+09,0
47.447,inf,0.00373398,1.72938,5.87547,5.87547,1.28939,3,0,0,-1,0
47.464,inf,-0.0011597,1.73421,6.84249,6.84249,0.967026,3,1,0,-1.76415e+09,0
43.265,5.83053,-0.00116009,1.8293,25.8608,25.8608,19.0183,3,1,0,-1.76415e+09,0
29.682,1.24358,-0.00155036,2.08234,76.4688,20,50.608,3,1,0,-1.76415e+09,1
20.026,1.59273,-0.0111713,1.93165,46.3297,46.3297,-30.1392,3,1,0,-1.76415e+09,0
31.739,inf,-0.00528504,1.75033,10.0659,10.0659,-36.2637,3,0,0,-1,0
44.438,inf,-0.0247413,1.72696,5.39196,5.39196,-4.67398,3,1,0,-1.76415e+09,0
49.045,inf,-0.0214494,1.70842,1.68498,1.68498,-3.70698,3,1,0,-1.76415e+09,0
49.198,inf,-0.0161236,1.7181,3.61905,3.61905,1.93408,3,1,0,-1.76415e+09,0
49.215,inf,-0.0152987,1.72777,5.55313,5.55313,1.93408,3,0,0,-1,0
42.466,3.50397,-0.0129214,1.92198,44.3956,44.3956,38.8425,3,1,0,-1.76415e+09,0
23.698,0.712566,0.00406112,2.16132,92.2637,20,47.8681,3,1,0,-1.76415e+09,1
19.703,3.77345,0.0373489,1.93245,46.4908,46.4908,-45.7729,3,1,0,-1.76415e+09,0
39.049,inf,0.03515,1.74388,8.77657,8.77657,-37.7143,3,1,0,-1.76415e+09,0
48.637,inf,-0.0227304,1.71004,2.00734,2.00734,-6.76923,3,0,0,-1,0
49.538,inf,-0.051878,1.71326,2.65203,2.65203,0.644684,3,1,0,-1.76415e+09,0
49.572,inf,-0.0328892,1.71971,3.94139,3.94139,1.28937,3,1,0,-1.76415e+09,0
48.28,21.7228,-0.010121,1.76725,13.4506,13.4506,9.50916,3,1,0,-1.76415e+09,0
34.833,1.46207,0.000259374,1.99451,58.9011,58.9011,45.4505,3,0,0,-1,0
19.703,0.723474,0.0243526,2.283,116.601,20,57.6997,3,1,0,-1.76415e+09,1
24.565,inf,0.0516158,1.81399,22.7985,22.7985,-93.8022,3,1,0,-1.76415e+09,0
42.041,inf,0.0331381,1.73824,7.64835,7.64835,-15.1502,3,1,0,-1.76415e+09,0
47.651,inf,-0.0309918,1.70762,1.5238,1.5238,-6.12454,3,0,0,-1,0
